,epoch,train_loss,val_loss
0,1,0.37542402478637266,0.37931040185455456
1,2,0.3677043433255348,0.37151080650695856
2,3,0.3548627723558027,0.35853630001994147
3,4,0.36059656699539205,0.3643294507117005
4,5,0.35395043279181737,0.7530108202194822
5,6,0.3497188651293028,0.35333914323623133
6,7,0.34416561036324894,0.3477284013607981
7,8,0.34122332661855415,0.3447556591922452
8,9,0.3336771609963941,0.33713137591354103
9,10,0.3246973405943298,0.7251494994722538
10,11,0.31831478232853727,0.32160996641061323
11,12,0.327431767476631,0.3308213302869481
12,13,0.3173126506268001,0.3205974606746966
13,14,0.32060020024598135,0.32391904289863127
14,15,0.3122716414146736,0.6880976673115361
15,16,0.31368734544051474,0.3169346264492157
16,17,0.31166311832847166,0.3148894446051639
17,18,0.31380791003342534,0.3170564391227983
18,19,0.3036462175430822,0.30678955312841427
19,20,0.2971822189197677,0.6613793090510319
20,21,0.3040383453862589,0.30718574026603385
21,22,0.3021610177686957,0.3052889786151625
22,23,0.30048632921009766,0.30359695373608214
23,24,0.29524695705317083,0.29830334377214773
24,25,0.28978203731726426,0.6582755070974121
25,26,0.2850297357673284,0.2879803541500129
26,27,0.28785308413818234,0.2908329297296749
27,28,0.29027804365900695,0.2932829923511292
